af,asn_v4,asn_v6,country_code,dist,dst_addr,dst_lat,dst_lon,from,fw,group_id,lts,msm_id,msm_name,prb_id,proto,rt,src_addr,src_lat,src_lon,timestamp,type
4,5645,6939,CA,757.4681199718044,199.4.144.2,45.470556,-73.740833,23.233.121.1,4680,1911041,132,1911041,Tdig,15106,UDP,26.265,172.16.32.100,42.4005,-82.1925,1427540917,dns
4,5645,,CA,172.3725370863732,199.4.144.2,45.470556,-73.740833,198.84.205.90,4680,1911041,204,1911041,Tdig,15609,UDP,22.394,192.168.0.98,45.3515,-75.9425,1427540915,dns
4,6327,6939,CA,1934.505865959861,199.4.144.2,33.942536,-118.408075,184.70.116.90,4680,1911041,21,1911041,Tdig,15744,UDP,60.212,192.168.5.149,51.0495,-114.0605,1427540922,dns
4,40788,,CA,39.35833599456307,199.4.144.2,43.677223,-79.630556,108.170.138.55,4680,1911041,42,1911041,Tdig,15933,UDP,14.264,192.168.1.50,43.3485,-79.8115,1427540888,dns
4,1403,,CA,2470.4523667249955,199.4.144.2,25.79325,-80.290556,192.222.163.5,4680,1911041,187,1911041,Tdig,15972,UDP,59.895,192.168.0.102,46.8085,-71.2095,1427540899,dns
4,5645,5645,CA,14.528047937110566,199.4.144.2,45.470556,-73.740833,69.196.165.190,4680,1911041,31,1911041,Tdig,16113,UDP,20.551,192.168.88.92,45.5085,-73.5625,1427540909,dns
4,22652,,CA,15.594299686274182,199.4.144.2,45.470556,-73.740833,198.154.185.83,4680,1911041,140,1911041,Tdig,17269,UDP,1.701,10.0.7.12,45.5115,-73.5495,1427540910,dns
4,5769,,CA,2304.746257145377,199.4.144.2,25.79325,-80.290556,24.202.222.22,4680,1911041,90,1911041,Tdig,17304,UDP,67.117,10.21.230.103,45.4095,-71.9525,1427540890,dns
4,5769,,CA,2226.9160484556787,199.4.144.2,25.79325,-80.290556,24.200.66.161,4680,1911041,303,1911041,Tdig,17413,UDP,54.269,192.168.248.100,45.4785,-75.7025,1427540890,dns
4,577,,CA,29.009556565609497,199.4.144.2,43.677223,-79.630556,74.12.89.183,4680,1911041,18,1911041,Tdig,17583,UDP,15.248,192.168.2.50,43.8085,-79.3185,1427540899,dns
4,22573,,CA,2816.413958306766,199.4.144.2,43.677223,-79.630556,76.9.63.239,4680,1911041,129,1911041,Tdig,17601,UDP,77.04,192.168.42.102,60.0075,-111.8825,1427540901,dns
4,577,,CA,364.91043450797497,199.4.144.2,43.677223,-79.630556,206.47.112.212,4680,1911041,96,1911041,Tdig,17636,UDP,15.664,192.168.1.64,45.4005,-75.7115,1427540896,dns
4,40029,,CA,1749.4077181139792,199.4.144.2,33.942536,-118.408075,216.19.182.5,4680,1911041,117,1911041,Tdig,17809,UDP,32.977,192.168.1.226,49.2815,-123.1325,1427540894,dns
4,852,,CA,1751.2813145041805,199.4.144.2,33.942536,-118.408075,172.218.39.58,4680,1911041,99,1911041,Tdig,17830,UDP,35.311,192.168.2.102,49.3175,-123.0215,1427540899,dns
4,6327,,CA,1751.799636883843,199.4.144.2,33.942536,-118.408075,174.7.64.17,4680,1911041,96,1911041,Tdig,17840,UDP,53.778,192.168.0.24,49.3175,-123.0505,1427540904,dns
4,852,852,CA,1962.1262749571035,199.4.144.2,33.942536,-118.408075,66.222.179.161,4680,1911041,107,1911041,Tdig,17845,UDP,54.179,192.168.1.77,51.2995,-114.0305,1427540890,dns
4,852,,CA,1748.0047482481175,199.4.144.2,33.942536,-118.408075,108.180.111.175,4680,1911041,98,1911041,Tdig,17857,UDP,48.224,192.168.1.65,49.2705,-123.1205,1427540902,dns
4,19662,,CA,1744.6560744102285,199.4.144.2,33.942536,-118.408075,216.86.105.124,4680,1911041,64,1911041,Tdig,17910,UDP,68.353,192.168.0.100,49.2475,-123.0725,1427540907,dns
4,5645,,CA,9.072479275126856,199.4.144.2,45.470556,-73.740833,24.212.241.178,4680,1911041,11,1911041,Tdig,17922,UDP,8.27,10.20.0.122,45.4985,-73.6315,1427540890,dns
4,11727,,CA,169.69644952295195,199.4.144.2,43.677223,-79.630556,204.19.18.252,4680,1911041,39,1911041,Tdig,17925,UDP,20.265,204.19.18.252,44.1795,-81.6315,1427540901,dns
4,1403,,CA,2275.942911168084,199.4.144.2,25.79325,-80.290556,192.222.198.115,4680,1911041,135,1911041,Tdig,17966,UDP,54.017,192.168.14.104,45.5405,-73.5795,1427540909,dns
4,53904,53904,CA,366.5962900610312,199.4.144.2,43.677223,-79.630556,205.189.33.92,4680,1911041,109,1911041,Tdig,18022,UDP,9.908,192.168.1.165,45.4185,-75.7015,1427540912,dns
4,239,239,CA,18.76921957518221,199.4.144.2,43.677223,-79.630556,128.100.103.20,4680,1911041,50,1911041,Tdig,18095,UDP,1.613,128.100.103.20,43.6595,-79.3985,1427540897,dns
4,5769,,CA,2273.1849358493073,199.4.144.2,25.79325,-80.290556,173.178.116.31,4680,1911041,111,1911041,Tdig,18203,UDP,50.394,192.168.0.101,45.5085,-73.5525,1427540909,dns
4,5645,,CA,492.94703291046227,199.4.144.2,45.470556,-73.740833,192.0.159.88,4680,1911041,131,1911041,Tdig,18322,UDP,19.697,10.10.0.101,43.658500000000004,-79.4215,1427540909,dns
4,852,,CA,2212.0175372099625,199.4.144.2,33.942536,-118.408075,161.184.220.244,4680,1911041,14,1911041,Tdig,18432,UDP,98.12,192.168.1.67,53.5285,-113.5015,1427540892,dns
4,852,,CA,4137.88869660368,199.4.144.2,33.942536,-118.408075,207.134.230.7,4680,1911041,14,1911041,Tdig,18437,UDP,106.668,192.168.1.67,46.7605,-71.6915,1427540899,dns
4,577,,CA,520.241152115675,199.4.144.2,43.677223,-79.630556,70.29.174.128,4680,1911041,99,1911041,Tdig,18750,UDP,24.457,192.168.2.11,45.4675,-73.5605,1427540901,dns
4,6327,,CA,1943.5893829273411,199.4.144.2,33.942536,-118.408075,70.75.150.32,4680,1911041,122,1911041,Tdig,19411,UDP,59.579,70.75.150.32,51.0375,-113.4025,1427540893,dns
4,10929,,CA,521.4157242642717,199.4.144.2,43.677223,-79.630556,199.58.81.190,4680,1911041,126,1911041,Tdig,19425,UDP,9.149,199.58.81.190,45.4995,-73.5615,1427540905,dns
4,5769,,CA,2271.6559613015975,199.4.144.2,25.79325,-80.290556,173.178.133.6,4680,1911041,84,1911041,Tdig,19491,UDP,49.999,192.168.1.25,45.4775,-73.4785,1427540899,dns
4,577,,CA,517.0207248340625,199.4.144.2,43.677223,-79.630556,70.48.191.46,4680,1911041,5,1911041,Tdig,19568,UDP,17.117,192.168.2.33,45.5315,-73.6395,1427540893,dns
4,577,,CA,503.51611612101044,199.4.144.2,43.677223,-79.630556,70.24.120.133,4680,1911041,107,1911041,Tdig,19602,UDP,12.929,192.168.2.17,45.7785,-73.9825,1427540896,dns
4,855,6939,CA,4633.383764599945,199.4.144.2,51.505278,0.055278,142.167.5.58,4680,1911041,51,1911041,Tdig,19717,UDP,69.812,172.16.1.254,46.0605,-64.8125,1427540908,dns
4,5645,,CA,490.23633541337404,199.4.144.2,45.470556,-73.740833,69.165.169.156,4680,1911041,109,1911041,Tdig,19787,UDP,20.907,192.168.68.159,43.6505,-79.3785,1427540909,dns
